Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
645.0993,-4.14745,-4.19235,-4.01236
645.5814,-4.13916,-4.19164,-4.00461
646.0636,-4.13126,-4.18965,-3.9978
646.5457,-4.12389,-4.18638,-3.9917
647.0278,-4.11725,-4.18192,-3.98608
647.51,-4.11158,-4.17651,-3.98072
647.9921,-4.10699,-4.17052,-3.97544
648.4742,-4.10349,-4.16451,-3.9702
648.9564,-4.10105,-4.1593,-3.96499
649.4385,-4.09985,-4.15595,-3.96
649.9207,-4.1003,-4.15568,-3.95553
650.4028,-4.10294,-4.15954,-3.9519
650.8849,-4.10801,-4.16766,-3.94917
651.3671,-4.11485,-4.17883,-3.9469
651.8492,-4.12197,-4.1908,-3.94433
652.3314,-4.12775,-4.20146,-3.94075
652.8135,-4.13112,-4.20969,-3.93594
653.2957,-4.13165,-4.21536,-3.92995
653.7778,-4.12941,-4.21888,-3.92299
654.2599,-4.12488,-4.22083,-3.91527
654.7421,-4.11866,-4.22174,-3.90689
655.2242,-4.11143,-4.22189,-3.89795
655.7063,-4.10378,-4.22137,-3.88845
656.1885,-4.09607,-4.22006,-3.87843
656.6706,-4.0884,-4.21776,-3.8679
657.1527,-4.08076,-4.21438,-3.85695
657.6349,-4.07307,-4.20994,-3.84572
658.117,-4.0653,-4.20461,-3.83434
658.5991,-4.05752,-4.19859,-3.82298
659.0813,-4.04979,-4.192,-3.81171
659.5634,-4.04202,-4.18478,-3.8006
660.0455,-4.03401,-4.17675,-3.78959
660.5277,-4.02535,-4.16763,-3.77862
661.0098,-4.01561,-4.15726,-3.76762
661.4919,-4.00454,-4.14563,-3.75649
661.9741,-3.99214,-4.13295,-3.74525
662.4562,-3.9787,-4.11962,-3.7339
662.9384,-3.96476,-4.10601,-3.72255
663.4205,-3.95084,-4.09243,-3.71128
663.9026,-3.93725,-4.0789,-3.70018
664.3848,-3.92402,-4.06525,-3.6893
664.8669,-3.91085,-4.05115,-3.67857
665.3491,-3.89731,-4.03625,-3.66787
665.8312,-3.88304,-4.0203,-3.65691
666.3134,-3.86787,-4.00325,-3.64542
666.7955,-3.85189,-3.98523,-3.63313
667.2776,-3.83533,-3.96649,-3.61989
667.7598,-3.8184,-3.94733,-3.6057
668.2419,-3.80111,-3.92808,-3.59073
668.724,-3.7833,-3.90908,-3.5753
669.2062,-3.7646,-3.89064,-3.55977
669.6883,-3.74466,-3.87308,-3.54444
670.1704,-3.72334,-3.85667,-3.52951
670.6526,-3.70079,-3.84161,-3.51496
671.1347,-3.67743,-3.82791,-3.50072
671.6168,-3.65387,-3.81539,-3.48655
672.099,-3.63072,-3.80367,-3.47232
672.5811,-3.60843,-3.79218,-3.45788
673.0632,-3.58728,-3.78034,-3.44318
673.5454,-3.56735,-3.76759,-3.42829
674.0275,-3.5486,-3.75352,-3.41324
674.5096,-3.53105,-3.73792,-3.39809
674.9918,-3.51467,-3.72075,-3.38286
675.4739,-3.49942,-3.70217,-3.36761
675.9561,-3.48518,-3.68245,-3.35236
676.4382,-3.47165,-3.66195,-3.33715
676.9203,-3.45836,-3.64107,-3.32205
677.4025,-3.44476,-3.62019,-3.30707
677.8846,-3.43028,-3.59963,-3.29218
678.3668,-3.41449,-3.57968,-3.27727
678.8489,-3.39716,-3.56052,-3.26226
679.3311,-3.37823,-3.54229,-3.24703
679.8132,-3.35781,-3.52502,-3.23156
680.2953,-3.33611,-3.50867,-3.21596
680.7775,-3.31329,-3.49313,-3.20037
681.2596,-3.2895,-3.4781,-3.18494
681.7417,-3.26484,-3.4632,-3.16976
682.2239,-3.23933,-3.4479,-3.15479
682.706,-3.21293,-3.4315,-3.13984
683.1881,-3.18549,-3.41322,-3.12462
683.6703,-3.15667,-3.39214,-3.10878
684.1524,-3.12593,-3.36728,-3.0919
684.6345,-3.09273,-3.33793,-3.07371
685.1167,-3.05697,-3.30415,-3.05422
685.5988,-3.01946,-3.26728,-3.03401
686.0809,-2.98184,-3.22957,-3.01393
686.5631,-2.94573,-3.19308,-2.99465
687.0452,-2.91212,-3.15891,-2.97645
687.5273,-2.8813,-3.12731,-2.9592
688.0095,-2.85301,-3.09809,-2.94277
688.4916,-2.82665,-3.07092,-2.92704
688.9738,-2.80154,-3.04555,-2.91202
689.4559,-2.77694,-3.02173,-2.8978
689.938,-2.75229,-2.99932,-2.88447
690.4202,-2.72731,-2.97814,-2.87205
690.9023,-2.70194,-2.95805,-2.86045
691.3845,-2.67632,-2.9389,-2.84953
691.8666,-2.65066,-2.9205,-2.83902
692.3488,-2.62507,-2.90273,-2.82865
692.8309,-2.59954,-2.88538,-2.81815
693.313,-2.57406,-2.86832,-2.80722
