temperature,signal
2063.75878,-0.00153
2065.68725,-0.00215
2067.61572,-0.00361
2069.54419,-0.00296
2071.47265,-0.000194503
2073.40112,0.000547073
2075.32959,-0.00333
2077.25805,-0.00189
2079.18652,0.00121
2081.11499,0.00164
2083.04345,0.00195
2084.97192,0.00068426
2086.90039,-0.00151
2088.82885,-0.000343021
2090.75732,0.000800809
2092.68579,-0.00132
2094.61425,-0.00355
2096.54272,-0.00306
2098.47119,-0.002
2100.39965,-0.00253
2102.32812,-0.00267
2104.25659,-0.00198
2106.18505,-0.000551457
2108.11352,0.000261219
2110.04199,-0.000940449
2111.97045,-0.000617092
2113.89892,0.000168004
2115.82739,-0.000827944
2117.75586,-0.0011
2119.68432,-0.00116
2121.61279,-0.00134
2123.54126,-0.00103
2125.46972,-0.00228
2127.39819,-0.00329
2129.32666,-0.000183586
2131.25512,0.000329433
2133.18359,-0.00123
2135.11206,-0.00159
2137.04052,-0.00156
2138.96899,-0.000460905
2140.89746,0.000532092
2142.82592,-0.000449096
2144.75439,-0.0015
2146.68286,-0.00248
2148.61132,-0.000954182
2150.53979,-0.00129
2152.46826,-0.00115
2154.39672,0.00077875
2156.32519,0.000196295
2158.25366,-0.00177
2160.18212,-0.000959513
2162.11059,-0.000346607
2164.03906,-0.000918781
2165.96753,-0.00288
2167.89599,-0.00394
2169.82446,-0.00132
2171.75293,0.000195695
2173.68139,-0.000885998
2175.60986,-0.000563173
2177.53833,-0.00222
2179.46679,5.86787e-06
2181.39526,-0.0014
2183.32373,0.000720989
2185.25219,0.000646155
2187.18066,0.00061706
2189.10913,-0.00179
2191.03759,-0.00177
2192.96606,0.0003913
2194.89453,-0.00024121
2196.82299,-0.00206
2198.75146,-0.0019
2200.67993,0.000840133
2202.60839,-0.00167
2204.53686,-0.000579575
2206.46533,0.000124569
2208.39379,-0.000395361
2210.32226,0.000902544
2212.25073,-0.000639517
2214.1792,-0.00287
2216.10766,-0.00263
2218.03613,-0.000726717
2219.9646,0.00107
2221.89306,0.0012
2223.82153,-0.00017546
2225.75,-0.000222474
2227.67846,-8.06166e-05
2229.60693,-0.000527837
2231.5354,-0.000573376
2233.46386,-0.000521708
2235.39233,-0.00132
2237.3208,-0.00178
2239.24926,0.000572123
2241.17773,0.00049956
2243.1062,-0.00148
2245.03466,-0.000456574
2246.96313,-0.000463342
2248.8916,-0.00227
2250.82006,-0.00197
2252.74853,-0.0025
2254.677,-0.00109
2256.60546,4.77592e-05
2258.53393,0.000970167
2260.4624,-0.000445896
2262.39086,-0.0042
2264.31933,-0.00344
2266.2478,-0.000631751
2268.17627,-0.0013
2270.10473,-0.000281228
2272.0332,-8.77767e-05
2273.96167,-0.00198
2275.89013,-0.00217
